product_id,product_type,category,subcategory,product_name,price,label,rating,image,description
0001,Clothing,Men,Shirts,Black Print shirt,450.99,new,4,assets/images/products/s1.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0002,Clothing,Men,Shirts,Red Print Shirt,450.99,sale,4,assets/images/products/s2.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0003,Clothing,Men,Shirts,whilte-line Print shirt,450.99,hot,4,assets/images/products/s3.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0004,Clothing,Men,Shirts,half-sleaves shirt,450.99,hot,4,assets/images/products/s4.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0005,Clothing,Men,Shirts,Sky-blue Print shirt,450.99,hot,4,assets/images/products/s5.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0006,Clothing,Men,Shirts,white Print shirt,450.99,hot,4,assets/images/products/s6.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0007,Clothing,Men,Shirts,Blue-checks Print shirt,450.99,hot,4,assets/images/products/s7.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0008,Clothing,Men,Shirts,Black Print shirt,450.99,hot,4,assets/images/products/s8.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0009,Clothing,Men,Shirts,White-checks Print shirt,450.99,hot,4,assets/images/products/s9.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
0010,Clothing,Men,Shirts,Yellow Print shirt,450.99,hot,4,assets/images/products/s10.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
